123s 25.08 Mbps
123.2s 24.9 Mbps
123.4s 25.68 Mbps
123.6s 24.3 Mbps
123.8s 24.9 Mbps
124s 25.02 Mbps
124.2s 24.96 Mbps
124.4s 25.92 Mbps
124.6s 24 Mbps
124.8s 24.96 Mbps
125s 25.02 Mbps
125.2s 17.82 Mbps
125.4s 1.14 Mbps
125.6s 22.86 Mbps
125.8s 25.2 Mbps
126s 25.74 Mbps
126.2s 24.84 Mbps
126.4s 25.26 Mbps
126.6s 25.44 Mbps
126.8s 24.96 Mbps
127s 25.32 Mbps
127.2s 24.96 Mbps
127.4s 25.14 Mbps
127.6s 25.62 Mbps
127.8s 24.6 Mbps
128s 25.14 Mbps
128.2s 25.08 Mbps
128.4s 25.08 Mbps
128.6s 25.8 Mbps
128.8s 24.36 Mbps
129s 25.08 Mbps
129.2s 25.08 Mbps
129.4s 25.02 Mbps
129.6s 26.1 Mbps
129.8s 24.06 Mbps
130s 25.02 Mbps
130.2s 25.08 Mbps
130.4s 25.02 Mbps
130.6s 26.28 Mbps
130.8s 23.7 Mbps
131s 24.9 Mbps
131.2s 25.08 Mbps
131.4s 24.9 Mbps
131.6s 26.04 Mbps
131.8s 23.94 Mbps
132s 24.9 Mbps
132.2s 25.02 Mbps
132.4s 24.96 Mbps
132.6s 25.74 Mbps
132.8s 24.18 Mbps
133s 24.96 Mbps
133.2s 25.02 Mbps
133.4s 24.9 Mbps
133.6s 25.56 Mbps
133.8s 24.42 Mbps
134s 24.9 Mbps
134.2s 25.08 Mbps
134.4s 24.9 Mbps
134.6s 25.26 Mbps
134.8s 24.66 Mbps
135s 24.96 Mbps
135.2s 25.32 Mbps
135.4s 24.6 Mbps
135.6s 25.08 Mbps
135.8s 4.32 Mbps
136s 13.68 Mbps
136.2s 23.82 Mbps
136.4s 25.26 Mbps
136.6s 25.26 Mbps
136.8s 25.26 Mbps
137s 26.22 Mbps
137.2s 24.18 Mbps
137.4s 25.14 Mbps
137.6s 25.2 Mbps
137.8s 25.14 Mbps
138s 25.92 Mbps
138.2s 24.36 Mbps
138.4s 25.08 Mbps
138.6s 25.14 Mbps
138.8s 25.08 Mbps
139s 25.62 Mbps
139.2s 24.54 Mbps
139.4s 25.08 Mbps
139.6s 25.2 Mbps
139.8s 24.96 Mbps
140s 25.32 Mbps
140.2s 24.78 Mbps
140.4s 25.08 Mbps
140.6s 25.38 Mbps
140.8s 24.66 Mbps
141s 25.08 Mbps
141.2s 25.02 Mbps
141.4s 24.96 Mbps
141.6s 25.62 Mbps
141.8s 24.3 Mbps
142s 24.9 Mbps
142.2s 25.08 Mbps
142.4s 24.9 Mbps
142.6s 25.92 Mbps
142.8s 24.06 Mbps
143s 24.9 Mbps
143.2s 25.02 Mbps
143.4s 24.96 Mbps
143.6s 26.16 Mbps
143.8s 23.76 Mbps
144s 24.96 Mbps
144.2s 25.02 Mbps
144.4s 24.9 Mbps
144.6s 26.16 Mbps
144.8s 23.82 Mbps
145s 24.9 Mbps
145.2s 25.08 Mbps
145.4s 24.9 Mbps
145.6s 25.92 Mbps
145.8s 24.06 Mbps
146s 24.18 Mbps
146.2s 0.9 Mbps
146.4s 16.8 Mbps
146.6s 25.02 Mbps
146.8s 25.26 Mbps
147s 25.74 Mbps
147.2s 24.78 Mbps
147.4s 25.2 Mbps
147.6s 25.2 Mbps
147.8s 25.14 Mbps
148s 25.92 Mbps
148.2s 24.42 Mbps
148.4s 25.14 Mbps
148.6s 25.08 Mbps
148.8s 25.14 Mbps
149s 26.1 Mbps
149.2s 24.06 Mbps
149.4s 25.14 Mbps
149.6s 25.08 Mbps
149.8s 25.02 Mbps
150s 26.34 Mbps
150.2s 23.82 Mbps
150.4s 25.08 Mbps
150.6s 25.02 Mbps
150.8s 25.08 Mbps
151s 26.1 Mbps
151.2s 23.94 Mbps
151.4s 25.08 Mbps
151.6s 25.02 Mbps
151.8s 24.96 Mbps
152s 25.74 Mbps
152.2s 24.18 Mbps
152.4s 24.96 Mbps
152.6s 25.02 Mbps
152.8s 24.9 Mbps
153s 25.56 Mbps
153.2s 24.42 Mbps
153.4s 24.9 Mbps
153.6s 25.14 Mbps
153.8s 24.84 Mbps
154s 25.26 Mbps
154.2s 24.66 Mbps
154.4s 24.96 Mbps
154.6s 25.32 Mbps
154.8s 24.6 Mbps
155s 25.02 Mbps
155.2s 24.96 Mbps
155.4s 24.9 Mbps
155.6s 25.62 Mbps
155.8s 24.36 Mbps
156s 24.9 Mbps
156.2s 25.08 Mbps
156.4s 19.56 Mbps
156.6s 1.14 Mbps
156.8s 20.7 Mbps
157s 25.56 Mbps
157.2s 25.62 Mbps
157.4s 24.96 Mbps
157.6s 25.26 Mbps
157.8s 25.14 Mbps
158s 25.2 Mbps
158.2s 25.8 Mbps
158.4s 24.48 Mbps
158.6s 25.14 Mbps
158.8s 25.14 Mbps
159s 25.08 Mbps
159.2s 25.98 Mbps
159.4s 24.24 Mbps
159.6s 25.08 Mbps
159.8s 25.14 Mbps
160s 25.02 Mbps
160.2s 26.22 Mbps
160.4s 23.94 Mbps
160.6s 25.08 Mbps
160.8s 25.02 Mbps
161s 25.08 Mbps
161.2s 26.28 Mbps
161.4s 23.82 Mbps
161.6s 25.02 Mbps
161.8s 25.08 Mbps
162s 25.02 Mbps
162.2s 25.86 Mbps
162.4s 24.06 Mbps
162.6s 24.9 Mbps
162.8s 25.08 Mbps
163s 24.9 Mbps
163.2s 25.68 Mbps
163.4s 24.3 Mbps
163.6s 24.9 Mbps
163.8s 25.02 Mbps
164s 24.96 Mbps
164.2s 25.38 Mbps
164.4s 24.54 Mbps
164.6s 24.96 Mbps
164.8s 25.2 Mbps
165s 24.72 Mbps
165.2s 25.2 Mbps
165.4s 24.78 Mbps
165.6s 24.9 Mbps
165.8s 25.5 Mbps
166s 24.48 Mbps
166.2s 24.9 Mbps
166.4s 25.02 Mbps
166.6s 24.96 Mbps
166.8s 25.68 Mbps
167s 10.14 Mbps
167.2s 5.64 Mbps
167.4s 26.16 Mbps
167.6s 24.54 Mbps
167.8s 25.26 Mbps
168s 25.26 Mbps
168.2s 25.26 Mbps
168.4s 25.68 Mbps
168.6s 24.66 Mbps
168.8s 25.2 Mbps
169s 25.32 Mbps
169.2s 24.96 Mbps
169.4s 25.32 Mbps
169.6s 24.9 Mbps
169.8s 25.08 Mbps
170s 25.56 Mbps
170.2s 24.66 Mbps
170.4s 25.08 Mbps
170.6s 25.08 Mbps
170.8s 25.02 Mbps
171s 25.8 Mbps
171.2s 24.36 Mbps
171.4s 25.02 Mbps
171.6s 25.08 Mbps
171.8s 25.08 Mbps
172s 25.92 Mbps
172.2s 24.12 Mbps
172.4s 24.96 Mbps
172.6s 25.02 Mbps
172.8s 24.96 Mbps
173s 26.16 Mbps
173.2s 23.76 Mbps
173.4s 24.96 Mbps
173.6s 25.02 Mbps
173.8s 24.9 Mbps
174s 26.1 Mbps
174.2s 23.88 Mbps
174.4s 24.9 Mbps
174.6s 25.02 Mbps
174.8s 24.96 Mbps
175s 25.8 Mbps
175.2s 24.12 Mbps
175.4s 24.96 Mbps
175.6s 25.02 Mbps
175.8s 24.9 Mbps
176s 25.62 Mbps
176.2s 24.36 Mbps
176.4s 24.9 Mbps
176.6s 25.08 Mbps
176.8s 24.9 Mbps
177s 25.32 Mbps
177.2s 24.66 Mbps
177.4s 20.88 Mbps
177.6s 0.9 Mbps
177.8s 19.62 Mbps
178s 25.62 Mbps
178.2s 26.46 Mbps
178.4s 24.06 Mbps
178.6s 25.26 Mbps
178.8s 25.2 Mbps
179s 25.2 Mbps
179.2s 26.1 Mbps
179.4s 24.24 Mbps
179.6s 25.08 Mbps
179.8s 25.14 Mbps
180s 25.14 Mbps
180.2s 25.8 Mbps
180.4s 24.42 Mbps
180.6s 25.08 Mbps
180.8s 25.08 Mbps
181s 25.08 Mbps
181.2s 25.5 Mbps
181.4s 24.6 Mbps
181.6s 25.08 Mbps
181.8s 25.26 Mbps
182s 24.84 Mbps
182.2s 25.26 Mbps
182.4s 24.84 Mbps
182.6s 25.08 Mbps
182.8s 25.5 Mbps
183s 24.48 Mbps
183.2s 24.9 Mbps
183.4s 25.02 Mbps
183.6s 24.96 Mbps
183.8s 25.74 Mbps
184s 24.18 Mbps
184.2s 24.96 Mbps
184.4s 25.02 Mbps
184.6s 24.9 Mbps
184.8s 25.98 Mbps
185s 24 Mbps
185.2s 24.9 Mbps
185.4s 25.02 Mbps
185.6s 24.96 Mbps
185.8s 26.22 Mbps
186s 23.7 Mbps
186.2s 24.96 Mbps
186.4s 25.02 Mbps
186.6s 24.9 Mbps
186.8s 26.1 Mbps
187s 23.88 Mbps
187.2s 24.9 Mbps
187.4s 25.08 Mbps
187.6s 24.9 Mbps
187.8s 25.8 Mbps
188s 6.18 Mbps
188.2s 9.48 Mbps
188.4s 25.5 Mbps
188.6s 25.38 Mbps
188.8s 25.26 Mbps
189s 25.56 Mbps
189.2s 24.84 Mbps
189.4s 25.2 Mbps
189.6s 25.5 Mbps
189.8s 24.78 Mbps
190s 25.26 Mbps
190.2s 25.02 Mbps
190.4s 25.14 Mbps
190.6s 25.68 Mbps
190.8s 24.54 Mbps
191s 25.08 Mbps
191.2s 25.08 Mbps
191.4s 25.08 Mbps
191.6s 25.86 Mbps
191.8s 24.24 Mbps
192s 25.08 Mbps
192.2s 25.08 Mbps
192.4s 25.02 Mbps
192.6s 26.16 Mbps
192.8s 23.94 Mbps
193s 25.02 Mbps
193.2s 25.08 Mbps
